person_age_group,new_confirm,new_death,new_recover,total,p_infected,p_death_if_infected
0-9,8493,4,5306,2144902,0.0039596214652231196,0.0004709760979630284
10-19,18035,8,10619,2108122,0.008555007727256772,0.0004435819240365955
20-29,39282,30,22797,2477429,0.015855953894137836,0.0007637085688101421
30-39,68700,144,39105,3493916,0.01966275090757763,0.002096069868995633
40-49,66651,431,38324,2926227,0.022777111960213613,0.006466519632113547
50-59,72613,1265,42605,2598494,0.027944263100087973,0.01742112293941856
60-69,62244,2673,35753,2113891,0.029445226835253094,0.0429438982070561
70-79,24358,2379,12996,964905,0.025243935931516574,0.09766811725100583
80-89,7286,1306,3440,449330,0.016215253822357733,0.1792478726324458
90+,548,124,228,66224,0.008274945639043248,0.22627737226277372
